lambda[micron],Kabs[cm^2/g]
1.0068592463335793,63205.167633874873
1.0145491632666985,62566.355612843297
1.0222978121652375,61909.646592399178
1.0301056415962997,61263.655235172380
1.0379731035529320,60611.125019768406
1.0459006534802926,59955.535414017810
1.0538887503020147,59312.014298835333
1.0619378564467741,58642.805711041161
1.0700484378750594,57979.997933683619
1.0782209641061460,57340.674217382919
1.0864559082452765,56687.443711362801
1.0947537470110487,56050.020392466817
1.1031149607630122,55407.687596999240
1.1115400335294774,54769.941033493953
1.1200294530355346,54139.813362115681
1.1285837107312890,53493.795699755661
1.1372033018203098,52881.907940941281
1.1458887252882983,52270.289018460535
1.1546404839319744,51637.697377380864
1.1634590843881816,51022.494581095132
1.1723450371632171,50404.264211319234
1.1812988566623857,49795.249341999166
1.1903210612197770,49204.618668072326
1.1994121731282732,48608.169903891714
1.2085727186697826,48005.905610488735
1.2178032281457074,47420.732845332430
1.2271042359076429,46822.186360305699
1.2364762803883094,46237.218229386286
1.2459199041327231,45657.587074707451
1.2554356538296041,45069.973545460780
1.2650240803430230,44495.606926926623
1.2746857387442916,43935.055595681704
1.2844211883440937,43363.318912221337
1.2942309927248663,42805.026194945051
1.3041157197734228,42241.826526438475
1.3140759417138292,41665.811644193076
1.3241122351405292,41106.650384860353
1.3342251810517236,40568.632497726852
1.3444153648830042,40031.903688038707
1.3546833765412440,39503.127490958352
1.3650298104387466,38963.736842885606
1.3754552655276577,38446.522982157898
1.3859603453346370,37941.974230099622
1.3965456579957969,37461.615191214412
1.4072118162919069,36978.728145577399
1.4179594376838680,36505.891344520329
1.4287891443484568,36056.183804943234
1.4397015632143428,35603.341993999733
1.4506973259983815,35159.141504171093
1.4617770692421854,34710.577297296797
1.4729414343489711,34275.923094557613
1.4841910676206911,33862.872664675655
1.4955266202954485,33444.075794050128
1.5069487485851958,33027.237714236784
1.5184581137137245,32622.819428177285
1.5300553819549410,32210.107391084541
1.5417412246714386,31796.194709212719
1.5535163183533622,31392.438575924178
1.5653813446575702,30994.120820972676
1.5773369904470942,30616.038824473384
1.5893839478309029,30235.258090406998
1.6015229142039675,29847.472380036790
1.6137545922876348,29459.580267261401
1.6260796901703038,29065.456084430079
1.6384989213484211,28691.978388534022
1.6510130047677838,28329.372749644092
1.6636226648651573,27969.368161657480
1.6763286316102144,27613.734077165627
1.6891316405477923,27250.307392554612
1.7020324328404746,26895.000363804771
1.7150317553114944,26556.947167272767
1.7281303604879701,26214.107755147426
1.7413290066444669,25869.990221695210
1.7546284578468949,25541.809419008736
1.7680294839967408,25227.531746259130
1.7815328608756336,24912.982554481074
1.7951393701902605,24612.043917805939
1.8088497996176138,24315.863677950685
1.8226649428505943,24023.201883447371
1.8365855996439537,23740.435772306024
1.8506125758605931,23461.371935576568
1.8647466835182183,23184.712203330811
1.8789887408363413,22908.692470341553
1.8933395722836504,22637.871840656509
1.9078000086257374,22359.268872367058
1.9223708869731919,22082.225932610116
1.9370530508300581,21811.722768796684
1.9518473501426692,21536.657000614705
1.9667546413488459,21268.089192917389
1.9817757874274788,20999.313948789917
1.9969116579484871,20739.182355790461
2.0121631291231519,20478.798949995529
2.0275310838548464,20222.700647748494
2.0430164117901426,19973.253336703609
2.0586200093703160,19725.773614823946
2.0743427798832368,19481.812496225004
2.0901856335156626,19242.848447152548
2.1061494874059310,19008.148203804092
2.1222352656970482,18785.897322596604
2.1384438995901913,18564.562923129019
2.1547763273986118,18338.146505003035
2.1712334946019585,18113.459684669735
2.1878163539010060,17896.519695823834
2.2045258652728124,17688.225078929321
2.2213629960262846,17480.013601788232
2.2383287208581817,17279.748990994362
2.2554240219095392,17069.975136096284
2.2726498888225191,16876.054612369644
2.2900073187977097,16681.609455254391
2.3074973166518435,16488.195890323550
2.3251208948759738,16302.551401151466
2.3428790736940810,16121.241750726847
2.3607728811221373,15938.671478209471
2.3788033530276169,15757.519157459583
2.3969715331894621,15579.149241841038
2.4152784733585073,15403.226707846896
2.4337252333183641,15229.399667467384
2.4523128809467738,15052.572011078455
2.4710424922774230,14875.880292808110
2.4899151515622413,14705.961748264699
2.5089319513341573,14528.787370696051
2.5280939924703589,14352.088238833710
2.5474023842560114,14182.346860430582
2.5668582444484778,14022.233271512110
2.5864626993420288,13863.805358592843
2.6062168838330373,13713.633906007073
2.6261219414856831,13573.868613213725
2.6461790245981485,13443.796780425640
2.6663892942693281,13323.452484902096
2.6867539204660429,13194.730522446560
2.7072740820907715,13071.129741276267
2.7279509670498907,12947.519777090898
2.7487857723224498,12822.906506709211
2.7697797040294607,12695.238649388306
2.7909339775037187,12563.457197534019
2.8122498173601609,12428.671027629731
2.8337284575667527,12291.869676618682
2.8553711415159304,12157.191011482140
2.8771791220965741,12023.878155842678
2.8991536617665381,11894.941273898447
2.9212960326257389,11769.116101953425
2.9436075164897897,11650.566646379955
2.9660894049642121,11539.144787328929
2.9887429995191983,11425.495783263512
3.0115696115649602,11314.029709396338
3.0345705625276409,11206.851484572157
3.0577471839258181,11105.357388685385
3.0811008174475774,11001.822344889699
3.1046328150281881,10905.962930826294
3.1283445389283662,10809.637677144769
3.1522373618131310,10707.852343946015
3.1763126668312749,10608.339822379374
3.2005718476954232,10511.520077845547
3.2250163087627284,10409.653575669065
3.2496474651161606,10305.637615377227
3.2744667426464233,10193.056280981662
3.2994755781345084,10072.131190154330
3.3246754193348576,9944.8598548983609
3.3500677250591848,9818.2388709233037
3.3756539652609212,9703.8604544719456
3.4014356211203047,9600.2543540111055
3.4274141851301363,9515.2623605078188
3.4535911611821737,9441.5679016567065
3.4799680646541891,9371.8286424998441
3.5065464224976961,9288.6727983584060
3.5333277733263500,9199.1126990991106
3.5603136675050089,9110.2507916719715
3.5875056672394914,9020.2980568132662
3.6149053466670025,8934.5711285084453
3.6425142919472742,8855.5775085644527
3.6703341013543711,8774.7187064995906
3.6983663853692317,8691.7223398365550
3.7266127667728810,8610.8070609282167
3.7550748807403882,8526.9863895401486
3.7837543749355187,8443.5411319671057
3.8126529096061139,8365.0407466827655
3.8417721576802131,8285.1202175007038
3.8711138048628846,8203.0301511231028
3.9006795497338271,8105.8808941648986
3.9304711038456834,8006.8730785754096
3.9604901918231348,7914.6065955220247
3.9907385514627349,7841.5069207400929
4.0212179338335030,7788.3273189887195
4.0519301033783073,7740.1950043377974
4.0828768380159906,7671.8984693274260
4.1140599292443127,7573.2485355117406
4.1454811822436453,7451.5666376851595
4.1771424159814741,7348.7558281790152
4.2090454633177092,7286.7718661673116
4.2411921711107796,7256.1072259607472
4.2735844003245456,7227.2637972806851
4.3062240261360403,7170.6223649142075
4.3391129380440079,7074.4337530242510
4.3722530399783013,6975.5979595716535
4.4056462504100935,6895.5733335958485
4.4392945024629302,6840.5846987264895
4.4731997440246536,6792.2330984901291
4.5073639378601467,6741.7551282541344
4.5417890617249750,6681.2059676577655
4.5764771084798683,6611.8636244028203
4.6114300862060835,6543.3709234876387
4.6466500183216644,6477.3325354398194
4.6821389436985603,6418.4386071706886
4.7178989167806744,6363.2374869571795
4.7539320077027751,6310.2982064145754
4.7902403024103544,6250.7430012826435
4.8268259027803717,6186.6100197854148
4.8636909267429278,6122.9392886380492
4.9008375084038853,6053.9099578408814
4.9382677981683933,5987.9575316304044
4.9759839628653939,5925.8768344208675
5.0139881858730355,5860.8172143067013
5.0522826672450920,5795.3894574559099
5.0908696238383078,5735.0781125787507
5.1297512894407369,5682.2679119211416
5.1689299149010566,5633.8175475368735
5.2084077682588603,5583.3314401930666
5.2481871348759626,5534.7062684389402
5.2882703175687027,5479.0772338955012
5.3286596367412322,5425.7654102232545
5.3693574305198792,5378.5359798213503
5.4103660548884598,5336.5310033492015
5.4516878838246914,5296.1765235751709
5.4933253094376235,5253.1306950877834
5.5352807421060941,5203.8995888568215
5.5775566106182923,5155.3359301541850
5.6201553623123468,5113.0230088543376
5.6630794632179935,5079.4459929978639
5.7063313981993513,5048.9164691628566
5.7499136710987626,5024.6785106995867
5.7938288048817288,5016.8131952437116
5.8380793417829855,5026.2402244149471
5.8826678434536515,5029.4414475123331
5.9275968911095358,5000.1474145436468
5.9728690856805615,4957.4235322233189
6.0184870479613206,4943.5843074862041
6.0644534187628114,4959.4472821448517
6.1107708590652923,4981.5206015745789
6.1574420501723441,5000.5860738580222
6.2044696938660842,5017.0083267716182
6.2518565125635615,5026.1818204472838
6.2996052494743662,5006.4965998796251
6.3477186687594385,4949.8357687049711
6.3961995556910729,4879.3281746972307
6.4450507168141691,4820.9925633929261
6.4942749801086874,4788.1813806704895
6.5438751951533636,4772.8001402714808
6.5938542332906955,4751.9538918617818
6.6442149877931191,4708.0521272411215
6.6949603740305417,4649.5263161128851
6.7460933296390806,4609.3814185606479
6.7976168146911347,4582.2395165105891
6.8495338118667588,4561.3278681103884
6.9018473266262976,4539.3391371139660
6.9545603873843866,4518.2312539284803
7.0076760456852778,4502.8913082078889
7.0611973763794769,4492.5995333630590
7.1151274778017433,4483.5077000630727
7.1694694719504719,4470.2282649187200
7.2242265046683958,4456.0107419553115
7.2794017458247273,4435.7707666759234
7.3349983894986455,4406.7569421479402
7.3910196541641930,4372.7902147146260
7.4474687828766157,4339.3360209895536
7.5043490434600697,4307.5011732208932
7.5616637286968427,4275.5371180075599
7.6194161565179179,4244.0658141017311
7.6776096701950785,4207.9147041785336
7.7362476385344543,4162.4131524656204
7.7953334560715151,4119.1012504296559
7.8548705432676078,4087.7411994363620
7.9148623467079506,4068.1601811033229
7.9753123393011514,4045.2552961182123
8.0362240204802529,4002.0813400789084
8.0976009164053462,3955.3681189295371
8.1594465801676428,3917.9451458935873
8.2217645919952140,3876.9392184889007
8.2845585594602156,3827.7093048804054
8.3478321176877373,3779.9408535485854
8.4115889295662658,3741.2520417705523
8.4758326859596771,3709.3453203450936
8.5405671059209514,3679.2552277324394
8.6057959369074304,3637.4403347237185
8.6715229549977639,3587.4152100138949
8.7377519651105438,3539.3829503734169
8.8044868012245097,3492.7057322882429
8.8717313266005320,3449.1109024862085
8.9394894340052531,3413.2218020013574
9.0077650459364431,3380.0924293879289
9.0765621148500415,3331.2187801875507
9.1458846233890085,3284.9453546914447
9.2157365846138362,3248.0969824800595
9.2861220422348989,3210.1042626491967
9.3570450708465245,3155.4686855107029
9.4285097761628638,3102.4842108271905
9.5005202952555976,3067.8936484716678
9.5730807967933842,3037.0108737854844
9.6461954812832502,2988.8111123702702
9.7198685813136851,2943.5019445198600
9.7941043617997021,2919.5019409326992
9.8689071202297427,2881.1024574579396
9.9442811869144236,2840.7350189181734
10.020230925237247,2809.9492134751640
10.096760731907187,2782.0603174759949
10.173875037213202,2744.7704469712767
10.251578305280701,2706.4708777008818
10.329875034330017,2679.6790040011401
10.408769756936737,2655.6445769687507
10.488267040294149,2624.2669752468105
10.568371486477600,2605.9104005633058
10.649087732710916,2599.6664777658525
10.730420451634886,2587.9197856389933
10.812374351577695,2563.6641421595536
10.894954176827548,2541.5051201218744
10.978164707907268,2523.4640088891638
11.062010761851075,2517.0892970069758
11.146497192483432,2510.3182944534424
11.231628890700017,2491.6238775250386
11.317410784750866,2472.0209972330549
11.403847840525676,2453.7877432090704
11.490945061841281,2426.2865362927255
11.578707490731286,2397.7732184397642
11.667140207738003,2371.3366251597863
11.756248332206503,2346.4738854964244
11.846037022581049,2322.9893615117226
11.936511476703632,2308.6925842329538
12.027676932114927,2290.2866337667288
12.119538666357490,2262.7006201581989
12.212101997281236,2234.8222023146100
12.305372283351355,2209.0846421545275
12.399354923958434,2181.6643797949728
12.494055359731075,2152.3506984656474
12.589479072850844,2144.3983104765275
12.685631587369638,2134.2393660284670
12.782518469529435,2130.6589061419668
12.880145328084581,2138.2440070499097
12.978517814626423,2132.6757594235428
13.077641623910496,2116.8889614286250
13.177522494186244,2099.4605478858098
13.278166207529098,2064.2384167335808
13.379578590175308,2029.7661903883729
13.481765512859136,1993.1288772915550
13.584732891152774,1955.2126810972800
13.688486685808767,1925.4489310667861
13.793032903105063,1906.4144510299254
13.898377595192763,1889.3177186812791
14.004526860446415,1882.0166923141026
14.111486843817108,1863.4586179605456
14.219263737188172,1848.9379715835821
14.327863779733613,1826.4536927720740
14.437293258279302,1800.4335178769390
14.547558507666974,1779.4315560907548
14.658665911120856,1763.1168133461008
14.770621900617245,1744.4834150456836
14.883432957256867,1729.8961238201161
14.997105611640006,1719.7830743885904
15.111646444244650,1707.9765336023806
15.227062085807338,1696.0569029618891
15.343359217707054,1680.0837076258813
15.460544572352038,1658.9450802829194
15.578624933569454,1636.9502011005341
15.697607136998201,1620.7695460862599
15.817498070484517,1605.9060545972732
15.938304674480781,1596.8224657497249
16.060033942447294,1591.7675057416545
16.182692921257111,1581.6571169498095
16.306288711603973,1572.8325890584549
16.430828468413392,1562.3594645882033
16.556319401256825,1544.1503415223053
16.682768774769020,1522.4921780435077
16.810183909068648,1502.8865650153291
16.938572180181936,1489.5415317659890
17.067941020469760,1479.1562261952638
17.198297919057850,1474.3639022287066
17.329650422270376,1466.0486815650033
17.462006134066769,1449.9948507925367
17.595372716481904,1431.6194759513132
17.729757890069710,1415.8284100291658
17.865169434350030,1402.3799307757204
18.001615188259045,1387.1044738679043
18.139103050603048,1373.6232403518729
18.277640980515667,1356.9749955121815
18.417236997918643,1339.4118770454536
18.557899183986159,1323.1310149349054
18.699635681612541,1306.4514234615299
18.842454695883728,1289.4198840189238
18.986364494552259,1275.8595714983271
19.131373408515834,1259.0930069645840
19.277489832299700,1249.0024826701640
19.424722224542467,1239.5427513389398
19.573079108485864,1229.5787199294202
19.722569072468136,1221.9747233418930
19.873200770421214,1216.4322027570988
20.024982922371692,1203.2225170543343
20.177924314945603,1192.1605934304298
20.332033801877095,1186.0974119768903
20.487320304520985,1181.7231336729926
20.643792812369202,1176.8088615018714
20.801460383571150,1170.1904104303967
20.960332145458160,1160.8646525447675
21.120417295071771,1148.8007493802388
21.281725099696235,1134.8615327413131
21.444264897394962,1120.2006863301951
21.608046097551050,1106.3595523367499
21.773078181412089,1093.6150574292105
21.939370702638929,1082.2747417457820
22.106933287858816,1072.5225172383157
22.275775637222640,1063.8740305879628
22.445907524966447,1055.5526909786447
22.617338799977333,1047.3980484713047
22.790079386363551,1039.0384584106532
22.964139284028992,1029.5368633043402
23.139528569252150,1019.6455832124121
23.316257395269350,1009.0287854120201
23.494335992862553,998.26923563829928
23.673774670951683,987.73968336887708
23.854583817191273,977.24245336639967
24.036773898571873,966.82362301978492
24.220355462026035,956.50798976556734
24.405339135038734,946.87460032014144
24.591735626262775,937.10362441554810
24.779555726138529,927.46996601070464
24.968810307518684,918.17430656914587
25.159510326297688,909.12824590916114
25.351666822045935,900.14689648969591
25.545290918648877,891.40580444814918
25.740393824950939,882.77285778297164
25.936986835404422,874.23054634994321
26.135081330723366,865.76652422121424
26.334688778542347,857.49984418632835
26.535820734080293,848.95493084631198
26.738488840809506,840.10622487638545
26.942704831129603,831.20899533853253
27.148480527046775,821.91859313714758
27.355827840858144,812.69989288096099
27.564758775841295,803.79460637758132
27.775285426949260,795.21794203111335
27.987419981510573,787.10464592728488
28.201174719934883,779.57848631658760
28.416562016423836,772.15794716264259
28.633594339687349,764.69812464718939
28.852284253665527,757.51770633634101
29.072644418255937,750.31526906450904
29.294687590046433,742.72631072831518
29.518426623053745,735.00554578065874
29.743874469467489,726.94570230774536
29.971044180399986,718.60127241216958
30.199948906641907,710.08046913942007
